Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
13/04/2018 20:34,Cash,Health,Lab Tests,Family Thyroid Test + CBC,700,Expense,RM
13/04/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Investment,RM
13/04/2018,Saving Bank account 1,Small cap fund 1,,,5000,Investment,RM
12/04/2018,Credit Card,subscription,Netflix,,199,Expense,RM
12/04/2018,Cash,Food,snacks,Pattice,20,Expense,RM
12/04/2018,Cash,Food,Lunch,Catering Service,130,Expense,RM
10/04/2018,Cash,Food,breakfast,Bread,18,Expense,RM
10/04/2018,Cash,Food,Lunch,Catering Service,70,Expense,RM
10/04/2018,Saving Bank account 1,Gift,,farewell contribution,250,Expense,RM
09/04/2018,Cash,Food,Grocery,Ginger,10,Expense,RM
09/04/2018,Cash,Food,Milk,milk 1lit ,72,Expense,RM
07/04/2018,Cash,Food,Milk,Half lit  milk,36,Expense,RM
07/04/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Investment,RM
06/04/2018,Saving Bank account 1,Money transfer,Home,,24500,Expense,RM
05/04/2018,Cash,Food,Eggs,6 eggs,36,Expense,RM
05/04/2018,Cash,Food,Milk,milk 1lit ,72,Expense,RM
05/04/2018,Cash,Food,Lunch,Catering Service,130,Expense,RM
03/04/2018,Saving Bank account 1,Public Provident Fund,,,12500,Investment,RM
03/04/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Savings,RM
02/04/2018,Cash,Transportation,Bike,Mall parking,20,Expense,RM
02/04/2018,Credit Card,Household,Hardware,Window cleaner,149,Expense,RM
02/04/2018,Cash,Food,Grocery,Pav kg Lahsoon,24,Expense,RM
02/04/2018,Cash,Food,curd,Dahi 2 packets,20,Expense,RM
02/04/2018,Cash,Food,Onions,onion 2 kg,36,Expense,RM
02/04/2018,Cash,maid,,,2000,Expense,RM
01/04/2018,Saving Bank account 2,Interest,,interest paid,345,Income,RM
01/04/2018,Saving Bank account 1,Other,,ATM charge,5.9,Expense,RM
01/04/2018,Saving Bank account 1,Other,,ATM charge,24.78,Expense,RM
01/04/2018,Saving Bank account 2,Interest,,interest paid,345.15,Income,RM
01/04/2018,Cash,Food,Milk,milk 1lit ,72,Expense,RM
01/04/2018,Saving Bank account 1,Money transfer,Home,,10005.9,Expense,RM
31/03/2018 21:39,Saving Bank account 1,Food,Ice cream,2 chocobar,45,Expense,RM
31/03/2018 19:45,Credit Card,Food,Dinner,Home Food Delivery,244,Expense,RM
31/03/2018 14:48,Saving Bank account 1,Salary,,From workplace ,64636,Income,RM
31/03/2018 13:20,Credit Card,Food,Lunch,Domino's Pizza,419,Expense,RM
31/03/2018 11:32,Saving Bank account 1,Transportation,Bike,Station Parking,10,Expense,RM
31/03/2018 7:36,Saving Bank account 1,Interest,,interest paid,589,Income,RM
31/03/2018 7:26,Cash,Transportation,Train,Place 0 to Sion returns,30,Expense,RM
30/03/2018 20:10,Cash,Food,snacks,1 Panipuri,25,Expense,RM
30/03/2018 11:27,Cash,Food,vegetables,Ginger + green chilli,20,Expense,RM
30/03/2018 11:27,Cash,Food,Milk,milk 1lit ,72,Expense,RM
29/03/2018 20:10,Credit Card,Food,Dinner,At restaurant,1234,Expense,RM
27/03/2018 19:58,Cash,Food,breakfast,Bread,35,Expense,RM
26/03/2018 13:05,Saving Bank account 1,Food,Milk,milk 1lit ,72,Expense,RM
26/03/2018 9:55,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157,Expense,RM
25/03/2018 22:20,Saving Bank account 1,Dividend earned on Shares,,Marico Stocks,40.5,Income,RM
25/03/2018 21:14,Cash,Transportation,Bike,Station Parking,10,Expense,RM
25/03/2018 21:14,Cash,Food,snacks,Popcorn family pack,25,Expense,RM
25/03/2018 21:13,Cash,Food,Tea,2 tea,20,Expense,RM
25/03/2018 21:13,Cash,Food,snacks,2 Frankie,160,Expense,RM
25/03/2018 21:12,Credit Card,Food,snacks,French crossiant,80,Expense,RM
25/03/2018 21:12,Credit Card,Food,Tea,IKEA tea 3,240,Expense,RM
23/03/2018 19:48,Cash,Culture,Books,Finding next Job,100,Expense,RM
22/03/2018 22:30,Saving Bank account 1,Food,flour mill,1 kg Bajari,7,Expense,RM
22/03/2018 22:30,Cash,Food,vegetables,Half kg tomato,15,Expense,RM
22/03/2018 19:31,Saving Bank account 1,Food,snacks,Pickle,150,Expense,RM
22/03/2018 19:31,Cash,Food,snacks,Potato chips,150,Expense,RM
22/03/2018 12:47,Cash,Food,Milk,milk 1lit ,72,Expense,RM
21/03/2018 23:13,Saving Bank account 1,Food,snacks,2 kachori,24,Expense,RM
21/03/2018 17:26,Cash,Family,Pocket money,,50,Expense,RM
20/03/2018 20:13,Credit Card,Food,Dinner,2 Fried rice,246,Expense,RM
20/03/2018 16:30,Saving Bank account 2,Other,,,17,Expense,RM
20/03/2018 16:26,Credit Card,Food,snacks,Chicken lollypop 8 pcs,215.75,Expense,RM
20/03/2018 16:15,Cash,Food,breakfast,Bread,18,Expense,RM
20/03/2018 16:15,Cash,Food,Eggs,6 eggs,36,Expense,RM
20/03/2018 16:15,Cash,Food,Milk,Half lit  milk,36,Expense,RM
18/03/2018 20:40,Cash,Transportation,Bike,Station Parking,10,Expense,RM
18/03/2018 18:57,Cash,Food,snacks,Dabeli,15,Expense,RM
18/03/2018 18:47,Credit Card,Family,clothes,Trouser,799,Expense,RM
18/03/2018 18:41,Credit Card,Family,clothes,Belt + bow,498,Expense,RM
18/03/2018 17:16,Cash,Food,snacks,Papad packet,50,Expense,RM
18/03/2018 17:16,Cash,Food,snacks,1 Panipuri,30,Expense,RM
18/03/2018 17:16,Cash,Food,Tea,cutting chai,10,Expense,RM
18/03/2018 16:16,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,RM
17/03/2018 22:50,Cash,Food,Lunch,Catering Service,30,Expense,RM
17/03/2018 13:13,Saving Bank account 1,Food,Milk,Half lit  milk,37,Expense,RM
15/03/2018 16:27,Cash,Food,Lunch,Catering Service,60,Expense,RM
15/03/2018 16:27,Saving Bank account 1,Food,Milk,Half lit  milk,36,Expense,RM
14/03/2018 21:38,Cash,Food,Onions,onion 2 kg,40,Expense,RM
14/03/2018 6:04,Credit Card,Food,Dinner,Domino's Pizza,578,Expense,RM
14/03/2018 6:03,Share Market Trading,Saving Bank account 1,,Unused funds,42.88,Savings,RM
13/03/2018 12:39,Cash,Family,Pocket money,,480,Expense,RM
13/03/2018 9:27,Saving Bank account 1,Food,Milk,Half lit  milk,36,Expense,RM
13/03/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Investment,RM
13/03/2018,Saving Bank account 1,Small cap fund 1,,,5000,Investment,RM
12/03/2018,Saving Bank account 1,Transportation,train,2 Place 3 to Place 2 : Sevagram express 3AC,1293,Expense,RM
10/03/2018,Cash,Household,Hardware,Mosquito Racket,300,Expense,RM
10/03/2018,Cash,Health,Health,All out refill,77,Expense,RM
10/03/2018,Cash,Food,Milk,1 lit ,72,Expense,RM
10/03/2018,Cash,Food,Milk,Half lit  milk,36,Expense,RM
08/03/2018,Saving Bank account 1,Apparel,Laundry,clothes ironing,91,Expense,RM
08/03/2018,Cash,Food,Bread,Flatbread 12 pcs,40,Expense,RM
08/03/2018,Cash,Petty cash,,From Family,500,Income,RM
08/03/2018,Cash,Food,Eggs,6 eggs,36,Expense,RM
08/03/2018,Cash,Food,Milk,Half lit  milk,36,Expense,RM
08/03/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Investment,RM
07/03/2018,Saving Bank account 1,Food,snacks,2 Vadapav,30,Expense,RM
06/03/2018,Cash,Health,Medicine,Thyroid Tablets,172,Expense,RM
06/03/2018,Cash,Health,Medicine,5 Meftal spas,22,Expense,RM
06/03/2018,Saving Bank account 1,Education,Stationary,Xerox,4,Expense,RM
06/03/2018,Saving Bank account 1,Petty cash,,From Family,3500,Income,RM
06/03/2018,Cash,Food,Milk,Half lit  milk,36,Expense,RM
06/03/2018,Credit Card,Documents,Courier,Aadhar PUC card delivery,50,Expense,RM
06/03/2018,Cash,Family,Pocket money,,50,Expense,RM
05/03/2018,Cash,Food,Ice cream,chocobar,20,Expense,RM
05/03/2018,Saving Bank account 1,Food,flour mill,M D sure 3kg atta,162,Expense,RM
05/03/2018,Saving Bank account 1,Other,,blanket sewing,10,Expense,RM
04/03/2018,Cash,Family,Pocket money,,450,Expense,RM
04/03/2018,Cash,Food,Lunch,Catering Service,130,Expense,RM
03/03/2018,Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,78,Income,RM
03/03/2018,Saving Bank account 1,Food,Milk,Half lit  milk,36,Expense,RM
02/03/2018,Saving Bank account 1,Food,Ice cream,chocobar,15,Expense,RM
01/03/2018,Credit Card,Food,Dinner,Domino's Pizza,189,Expense,RM
01/03/2018,Cash,Food,Eggs,6 eggs,36,Expense,RM
01/03/2018,Saving Bank account 1,Public Provident Fund,,,10000,Investment,RM
01/03/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Savings,RM
01/03/2018,Saving Bank account 1,Money transfer,Home,,10000,Expense,RM
28/02/2018 20:32,Saving Bank account 1,Food,Biscuits,Khari packet,45,Expense,RM
28/02/2018 20:31,Saving Bank account 1,Food,Milk,Half lit Varna milk,36,Expense,RM
28/02/2018 20:31,Credit Card,Food,Onions,onion 1 kg,30,Expense,RM
28/02/2018 20:29,Credit Card,Food,Potato,potato 1kg,18,Expense,RM
28/02/2018 14:52,Saving Bank account 1,Salary,,From workplace ,64556,Income,RM
27/02/2018 13:21,Cash,Food,Lunch,5 chapati,30,Expense,RM
26/02/2018 22:48,Saving Bank account 1,Food,Milk,1 lit ,73,Expense,RM
26/02/2018 19:32,Saving Bank account 1,Household,Toiletries,Mirror repair,140,Expense,RM
26/02/2018 18:25,Credit Card,Transportation,Bike,First servicing,443,Expense,RM
26/02/2018 12:41,Saving Bank account 1,Food,beverage,chaas,17,Expense,RM
24/02/2018 20:02,Saving Bank account 1,Food,Bread,Flatbread 12 pcs,40,Expense,RM
23/02/2018 22:34,Cash,Health,Medicine,Refresh Tears Drop,128,Expense,RM
23/02/2018 6:59,Saving Bank account 1,Food,Milk,1 lit ,72,Expense,RM
22/02/2018 23:45,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157,Expense,RM
22/02/2018 20:39,Saving Bank account 1,Food,beverage,Limca,20,Expense,RM
22/02/2018 20:38,Saving Bank account 1,Food,Onions,onion 1 kg,20,Expense,RM
22/02/2018 19:19,Saving Bank account 1,Food,Lunch,Catering Service,192,Expense,RM
22/02/2018,Saving Bank account 1,Life Insurance,,,11043,Savings,RM
20/02/2018 21:42,Saving Bank account 1,Household,Appliances,Kitchen fan + installation+ repair,2600,Expense,RM
19/02/2018 22:15,Saving Bank account 1,Petty cash,,From Family,170,Income,RM
19/02/2018 22:15,Saving Bank account 1,Beauty,grooming,hair cut+shaving,170,Expense,RM
19/02/2018 9:47,Saving Bank account 1,Food,Milk,1 lit ,72,Expense,RM
19/02/2018 9:47,Saving Bank account 1,Food,snacks,2 kachori,24,Expense,RM
17/02/2018 23:12,Credit Card,Food,Dinner,BBQ,1783,Expense,RM
17/02/2018 23:10,Credit Card,Family,clothes,,3598,Expense,RM
17/02/2018 19:27,Cash,Transportation,Bike,Mall parking,20,Expense,RM
17/02/2018 19:26,Cash,Food,Lunch,5 chapati,30,Expense,RM
16/02/2018 8:44,Saving Bank account 1,Food,snacks,banana chips,45,Expense,RM
16/02/2018 8:41,Saving Bank account 1,Food,Biscuits,Khari packet,45,Expense,RM
16/02/2018 8:41,Saving Bank account 1,Food,Milk,1 lit ,72,Expense,RM
15/02/2018 19:48,Saving Bank account 1,Food,Ice cream,chocobar,35,Expense,RM
15/02/2018 19:47,Saving Bank account 1,Food,Grocery,Half kg tomato + methi 1 judi,30,Expense,RM
14/02/2018 19:12,Saving Bank account 1,Food,snacks,1 chicken shawarma,60,Expense,RM
13/02/2018 20:24,Credit Card,Food,Potato,potato 1kg,25,Expense,RM
13/02/2018 20:23,Saving Bank account 1,Food,Bread,Bread,35,Expense,RM
13/02/2018 20:22,Saving Bank account 1,Food,Grocery,Amul cheese,72,Expense,RM
13/02/2018 6:58,Saving Bank account 1,Food,Milk,1 lit ,72,Expense,RM
13/02/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Investment,RM
13/02/2018,Saving Bank account 1,Small cap fund 1,,,5000,Investment,RM
12/02/2018,Saving Bank account 1,Food,Eggs,6 eggs,36,Expense,RM
12/02/2018,Saving Bank account 1,Food,curd,3 packets,30,Expense,RM
12/02/2018,Cash,Food,flour mill,M D sure 3kg atta,162,Expense,RM
11/02/2018,Cash,Transportation,auto,2 Place 0 to Current Residence,30,Expense,RM
11/02/2018,Cash,Food,Dinner,pav Bhaji,235,Expense,RM
11/02/2018,Cash,Food,snacks,Vadapav,15,Expense,RM
11/02/2018,Cash,Transportation,Train,Place 0 to Place 3 returns,40,Expense,RM
11/02/2018,Cash,Transportation,auto,Current Residence to Place 0,15,Expense,RM
10/02/2018,Saving Bank account 1,Share Market,,,4825,Investment,RM
10/02/2018,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
09/02/2018,Saving Bank account 1,Apparel,Laundry,clothes ironing,98,Expense,RM
08/02/2018,Saving Bank account 1,Food,snacks,Shev Puri,35,Expense,RM
08/02/2018,Saving Bank account 1,Food,Onions,onion 1 kg,25,Expense,RM
08/02/2018,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
07/02/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Investment,RM
06/02/2018,Credit Card,Culture,Movie,2 PVR Place 6,312,Expense,RM
05/02/2018,Cash,Family,Pocket money,,500,Expense,RM
05/02/2018,Saving Bank account 1,Food,Grocery,Raw chicken half kg,220,Expense,RM
05/02/2018,Saving Bank account 1,Food,Biscuits,Khari packet,45,Expense,RM
05/02/2018,Saving Bank account 1,Food,Milk,1 packet,69,Expense,RM
04/02/2018,Credit Card,Food,Dinner,Domino's Pizza,452,Expense,RM
04/02/2018,Saving Bank account 1,Food,Lunch,Catering Service,50,Expense,RM
04/02/2018,Saving Bank account 1,Food,Milk,Half lit  milk,35,Expense,RM
03/02/2018,Saving Bank account 1,Food,Ice cream,chocobar,10,Expense,RM
03/02/2018,Credit Card,Transportation,Travels,Place 2 to Place 1 - Shree Sharma Travels,945,Expense,RM
03/02/2018,Cash,Gpay Reward,,,6,Income,RM
02/02/2018,Saving Bank account 1,Food,Lunch,Catering Service,82,Expense,RM
02/02/2018,Saving Bank account 1,Share Market,,,2836,Investment,RM
02/02/2018,Saving Bank account 1,Gpay Reward,,,6,Income,RM
02/02/2018,Cash,Family,Pocket money,,170,Expense,RM
01/02/2018,Saving Bank account 1,Food,fruits,8 bananas,30,Expense,RM
01/02/2018,Saving Bank account 1,Food,vegetables,Half kg tomato,15,Expense,RM
01/02/2018,Saving Bank account 1,Share Market,,,50000,Investment,RM
01/02/2018,Saving Bank account 1,Public Provident Fund,,,10000,Investment,RM
01/02/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Savings,RM
01/02/2018,Cash,maid,,,2000,Expense,RM
01/02/2018,Saving Bank account 1,Money transfer,Home,,10000,Expense,RM
31/01/2018 22:00,Cash,Food,Dinner,At restaurant,320,Expense,RM
31/01/2018 20:01,Saving Bank account 1,Transportation,Bike,Parking sticker,50,Expense,RM
31/01/2018 8:21,Saving Bank account 1,Salary,,From workplace ,64636,Income,RM
31/01/2018 7:31,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
30/01/2018 21:05,Saving Bank account 1,Household,Kitchen,Matchbox packet 10pcs,10,Expense,RM
30/01/2018 21:05,Saving Bank account 1,Food,Grocery,Dahi 2 packets,20,Expense,RM
30/01/2018 15:31,Saving Bank account 1,Share Market,,,10000,Investment,RM
30/01/2018 8:47,Cash,Family,Pocket money,,100,Expense,RM
29/01/2018 7:50,Saving Bank account 1,Food,Biscuits,Khari packet,45,Expense,RM
29/01/2018 7:49,Saving Bank account 1,Food,Eggs,6 eggs,42,Expense,RM
29/01/2018 7:49,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
28/01/2018 19:26,Saving Bank account 1,Food,snacks,2 kachori,24,Expense,RM
27/01/2018 18:15,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux third installment,43000,Expense,RM
27/01/2018 9:57,Saving Bank account 1,Share Market,,,30000,Investment,RM
26/01/2018 14:11,Cash,Transportation,auto,Place 0 to Current Residence,15,Expense,RM
26/01/2018 12:38,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,RM
26/01/2018 12:37,Credit Card,Apparel,Clothing,Pyjama (999)+ carry bag (10),1009,Expense,RM
26/01/2018 10:05,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
26/01/2018 10:03,Cash,Food,Potato,potato 1kg,25,Expense,RM
25/01/2018 13:24,Cash,Food,Lunch,Catering Service,70,Expense,RM
24/01/2018 16:33,Share Market Trading,Saving Bank account 1,,,97.14,Savings,RM
24/01/2018 9:51,Cash,Food,Milk,Half lit  milk,35,Expense,RM
22/01/2018 19:05,Saving Bank account 1,Food,flour mill,2 kg Bajari,14,Expense,RM
22/01/2018 12:08,Cash,Food,flour mill,M D sure 3kg atta,162,Expense,RM
22/01/2018 10:25,Saving Bank account 1,Health,Medicine,Cough-sills 4 pcs + sinarest 3 pcs,30,Expense,RM
22/01/2018 10:25,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
21/01/2018 19:44,Credit Card,Food,Dinner,Home Food Delivery,384,Expense,RM
20/01/2018 23:30,Saving Bank account 1,Amazon pay cashback,,,2,Income,RM
20/01/2018 20:53,Saving Bank account 1,Food,Biscuits,crack-jack 1 packi,10,Expense,RM
20/01/2018 20:53,Saving Bank account 1,Food,Bread,,45,Expense,RM
20/01/2018 10:18,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,179,Expense,RM
19/01/2018 22:24,Saving Bank account 1,Food,Bread,Flatbread 6 pcs,17,Expense,RM
19/01/2018 22:23,Cash,Food,Bread,Flatbread 6 pcs,20,Expense,RM
18/01/2018 21:57,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux second installment,50000,Expense,RM
18/01/2018 15:09,Credit Card,Food,Lunch,Fresh veggie pizza,219,Expense,RM
18/01/2018 7:55,Saving Bank account 1,Food,Eggs,6 eggs,42,Expense,RM
18/01/2018 7:55,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
16/01/2018 8:22,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
16/01/2018 7:11,Credit Card,Social Life,Leisure,Marathon,298,Expense,RM
15/01/2018 16:55,Credit Card,Food,Sweets,Chitale Srikhand,284,Expense,RM
15/01/2018 16:54,Cash,Food,Grocery,onion 1 kg + half kg potato,38,Expense,RM
15/01/2018 13:51,Cash,Transportation,Train,Place 0 to Place 3 returns,40,Expense,RM
15/01/2018 13:50,Saving Bank account 1,Transportation,auto,Uber auto: Place 4 Station to Current Residence society,266,Expense,RM
14/01/2018 15:23,Cash,Transportation,Train,Place 0 to Santacruz return,40,Expense,RM
14/01/2018 15:22,Credit Card,Household,Hardware,Vibrating electronic message tool,798,Expense,RM
14/01/2018 15:22,Cash,Transportation,auto,station to Decathlon,20,Expense,RM
14/01/2018 15:22,Cash,Transportation,auto,Decathlon to station,25,Expense,RM
14/01/2018 15:21,Credit Card,Apparel,Clothing,Head band,199,Expense,RM
14/01/2018 12:21,Cash,Transportation,auto,Pali hill to Bandra station,23,Expense,RM
14/01/2018 10:54,Cash,Transportation,auto,mumbai University Kalina to Santacruz station,40,Expense,RM
14/01/2018 7:30,Cash,Transportation,auto,Current Residence to Place 0,15,Expense,RM
13/01/2018 20:57,Cash,Health,Medicine,Thyroid Tablets,740,Expense,RM
13/01/2018 20:55,Saving Bank account 1,Apparel,Laundry,clothes ironing,80,Expense,RM
13/01/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Investment,RM
13/01/2018,Saving Bank account 1,Small cap fund 1,,,5000,Investment,RM
12/01/2018,Cash,Health,Lab Tests,Family Thyroid Test,500,Expense,RM
12/01/2018,Saving Bank account 1,Share Market,,,20000,Investment,RM
12/01/2018,Saving Bank account 1,Equity Mutual Fund A,,,1000,Investment,RM
11/01/2018,Saving Bank account 1,Food,Eggs,6 eggs,42,Expense,RM
11/01/2018,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
09/01/2018,Cash,Food,Bread,Flatbread 12 pcs,34,Expense,RM
09/01/2018,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
08/01/2018,Cash,Food,snacks,Vadapav,20,Expense,RM
08/01/2018,Cash,Other,,Gift from inlaws,2000,Income,RM
08/01/2018,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1399,Expense,RM
08/01/2018,Saving Bank account 1,Food,flour mill,M D sure 2kg atta,104,Expense,RM
07/01/2018,Cash,Food,Tea,2 cutting chai,20,Expense,RM
07/01/2018,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,RM
07/01/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000,Investment,RM
06/01/2018,Saving Bank account 1,Household,Appliances,5 litres can Distilled water,100,Expense,RM
06/01/2018,Cash,Food,curd,2 cups,20,Expense,RM
06/01/2018,Cash,Food,Milk,1 lit ,69,Expense,RM
05/01/2018,Equity Mutual Fund C,Maturity amount,,,6049,Income,RM
04/01/2018,Cash,Food,Lunch,Catering Service,70,Expense,RM
04/01/2018,Saving Bank account 1,Small cap fund 1,,,5000,Investment,RM
04/01/2018,Saving Bank account 1,Small Cap fund 2,,,5000,Investment,RM
04/01/2018,Saving Bank account 1,Documents,Updation,Aadhar Address Change,50,Expense,RM
04/01/2018,Equity Mutual Fund A,Maturity amount,,SIP Redemption,113376,Income,RM
04/01/2018,Equity Mutual Fund D,Maturity amount,,SIP Redemption,106875,Income,RM
03/01/2018,Credit Card,Food,Dinner,Wok express + Domino's,681,Expense,RM
03/01/2018,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux booking amount,1000,Expense,RM
03/01/2018,Saving Bank account 1,Food,Eggs,6 eggs,40,Expense,RM
03/01/2018,Saving Bank account 1,Food,Milk,1 lit ,69,Expense,RM
02/01/2018,Cash,Health,Medicine,Refresh Tears Drop,158,Expense,RM
01/01/2018,Credit Card,subscription,Amazon Prime,Amazon pay cashback 1017 + Rs.482,482,Expense,RM
01/01/2018,Cash,Food,Ice cream,Raspberry dolly,15,Expense,RM
01/01/2018,Credit Card,Household,gadgets,Logitech mouse,599,Expense,RM
01/01/2018,Cash,Food,Milk,1 lit ,69,Expense,RM
01/01/2018,Saving Bank account 1,Money transfer,Home,,30000,Expense,RM
01/01/2018,Cash,maid,,,2000,Expense,RM
01/01/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000,Savings,RM
01/01/2018,Saving Bank account 1,Public Provident Fund,,,10000,Investment,RM
31/12/2017 13:25,Cash,Food,Bread,Flatbread 24 pcs,30,Expense,RM
31/12/2017 8:15,Saving Bank account 1,Salary,,From workplace ,64623,Income,RM
31/12/2017 7:21,Saving Bank account 1,Interest,,interest paid,594,Income,RM
30/12/2017 10:51,Cash,Food,vegetables,Dudhi 20 + mirchi 5,25,Expense,RM
29/12/2017 21:36,Saving Bank account 1,Family,misc,For utensils,450,Expense,RM
29/12/2017 18:22,Cash,Food,snacks,3 pavwada,30,Expense,RM
29/12/2017 18:22,Cash,Food,flour mill,,5,Expense,RM
29/12/2017 13:00,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181,Expense,RM
28/12/2017 18:27,Cash,Food,vegetables,Ginger,10,Expense,RM
27/12/2017 18:43,Cash,Food,Grocery,Tata salt 28+ 6 eggs 42,70,Expense,RM
26/12/2017 21:55,Saving Bank account 1,Fixed Deposit,,,250000,Savings,RM
26/12/2017 21:50,Fixed Deposit,Saving Bank account 1,,,150000,Savings,RM
26/12/2017 19:35,Credit Card,subscription,Newspaper,"ET Prime (1+1) till 24 Dec,2024",1749,Expense,RM
25/12/2017 17:43,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156,Expense,RM
25/12/2017 11:53,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181,Expense,RM
25/12/2017 5:48,Cash,Transportation,auto,Place 2 station to Permanent Residence,80,Expense,RM
24/12/2017 21:24,Saving Bank account 1,Transportation,auto,2 Current Residence to Place 0,30,Expense,RM
24/12/2017 19:28,Credit Card,Gift,,Birthday gift,1364,Expense,RM
24/12/2017 19:28,Cash,Food,snacks,Gupta bhel,25,Expense,RM
24/12/2017 19:27,Cash,Household,Toiletries,Toothbrush (buy 2 get 1),100,Expense,RM
24/12/2017 8:06,Saving Bank account 1,Food,Milk,Half lit  milk,35,Expense,RM
23/12/2017 11:06,Credit Card,Gift,,Birthday gift,798,Expense,RM
22/12/2017 14:42,Saving Bank account 1,Food,Lunch,Home Food Delivery,380,Expense,RM
22/12/2017,Saving Bank account 1,Equity Mutual Fund C,,,1000,Investment,RM
21/12/2017 20:45,Saving Bank account 1,Food,snacks,Vadapav,15,Expense,RM
21/12/2017 14:34,Cash,Food,Lunch,Catering Service,65,Expense,RM
21/12/2017 14:34,Cash,Food,Milk,milk 1lit ,70,Expense,RM
20/12/2017 10:31,Cash,Food,Lunch,Catering Service,95,Expense,RM
20/12/2017 10:31,Credit Card,subscription,Edtech Course,Renewal,28400,Expense,RM
19/12/2017 20:59,Saving Bank account 1,Gpay Reward,,,6,Income,RM
19/12/2017 20:25,Cash,Family,Pocket money,,500,Expense,RM
19/12/2017 18:57,Cash,Food,snacks,Chicken Frankie,45,Expense,RM
19/12/2017 17:53,Share Market Trading,Saving Bank account 1,,Fund Withdrawal,108.96,Savings,RM
19/12/2017 17:53,Cash,Transportation,Train,Place 0 to WS return,10,Expense,RM
19/12/2017 6:38,Saving Bank account 1,Food,Milk,milk 1lit ,69,Expense,RM
18/12/2017 6:00,Credit Card,Apparel,Clothing,undergarment single,312,Expense,RM
17/12/2017 22:28,Credit Card,Food,Dinner,At restaurant,505,Expense,RM
17/12/2017 22:27,Cash,Transportation,auto,within city,30,Expense,RM
17/12/2017 17:49,Cash,Food,Tea,2 cutting chai,20,Expense,RM
17/12/2017 17:48,Cash,Transportation,auto,college to inorbit,25,Expense,RM
17/12/2017 16:28,Cash,Transportation,Train,Place 0 to Place 4 return,20,Expense,RM
17/12/2017 16:28,Cash,Transportation,auto,Current Residence to Place 0,15,Expense,RM
16/12/2017 7:24,Saving Bank account 1,Food,Milk,milk 1lit ,69,Expense,RM
15/12/2017 7:24,Cash,Other,,Nosebud,10,Expense,RM
15/12/2017 7:24,Cash,Food,Ice cream,chocobar,15,Expense,RM
14/12/2017 20:17,Saving Bank account 1,Petty cash,,From Family,3000,Income,RM
14/12/2017 20:17,Cash,Food,Grocery,Paneer + 1 kg onion,145,Expense,RM
13/12/2017 22:00,Cash,Apparel,Laundry,clothes ironing,98,Expense,RM
13/12/2017 17:42,Cash,Family,Pocket money,,20,Expense,RM
13/12/2017 7:31,Saving Bank account 1,Food,Milk,milk 1lit ,69,Expense,RM
12/12/2017,Cash,Food,Eggs,6 eggs,40,Expense,RM
12/12/2017,Credit Card,Food,snacks,Double chicken shwarma,100,Expense,RM
12/12/2017,Cash,Food,Lunch,Catering Service,80,Expense,RM
12/12/2017,Saving Bank account 1,Equity Mutual Fund F,,,1000,Investment,RM
10/12/2017,Cash,Food,vegetables,,90,Expense,RM
10/12/2017,Cash,Food,fruits,,310,Expense,RM
10/12/2017,Cash,Food,snacks,Gupta bhel,25,Expense,RM
10/12/2017,Saving Bank account 1,Food,Lunch,Catering Service,65,Expense,RM
